name,exp_id,run_id,Accuracy,AbsLoss,SignedLoss,A_Value_Variance,A_Value_Ex,A_Value_Smooth,DDPG_Version,buffer.m,env.U_2,ddpg.tau_decay,env.b,env.mu,env.sigma,general_settings.max_episodes,ddpg.noise_scale,env.dt
More Multiple Env and Tau ,873203898913114948,736796acdcc741809237e864e0d21883,0.954596841,0.031826635,0.031826635,0.000272001,0.700978423,0.732805058,ShockBuffer,8,np.log,linear,-1.984402427,0.419924717,0.773986515,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,737f8d4a527b45dea179fee8e454f0bf,0.81781961,0.153792535,-0.153792535,0.000158433,0.844177217,0.690384683,DDPG,8,np.log,linear,-5.868306739,0.013019244,0.12418698,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7391e47da0de4ec597b71b7807831a8c,0.884043849,0.064652165,-0.064652165,0.000294454,0.557557012,0.492904847,DDPG,8,np.log,none,-2.796360147,0.037080949,0.257887789,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,73ff466b0ac34288901754cfa8a9842e,0.905146839,0.062358146,-0.062358146,2.30322E-06,0.657417687,0.595059541,DDPG,8,np.log,linear,0.214313898,0.492021206,0.865109774,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,744ff28874764b5181e54426835db51c,0.623856889,0.073943795,0.073943795,0.005802143,0.196584205,0.270528,ShockBuffer,8,np.log,none,-7.991571477,0.022804286,0.340591595,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,746af22a9f9e426b96027f7f4300dceb,0.654171169,0.241081255,-0.241081255,0.000583081,0.6971115,0.456030244,DDPG,8,np.log,none,-6.126398076,0.20991438,0.548744236,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,74a14a5f995940e78726e9eb7aa40dae,0.838345689,0.015990842,0.015990842,4.34578E-05,0.098919984,0.114910826,DDPG,8,np.log,none,0.364107826,0.071040428,0.847443523,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,74be99e4ae5b4c98b54e0321654634ae,0.946615437,0.036683869,0.036683869,0.000179133,0.687162488,0.723846357,ShockBuffer,8,np.log,linear,-2.41433772,0.304905538,0.666120707,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,74c5e6a4ab9e45ca905979a34d60a8db,0.992100881,0.007832971,-0.007832971,0.017502861,0.991625872,0.983792901,DDPG,8,np.log,none,-8.440281946,0.737020848,0.86211651,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7614d46d091848f1adb1249a71b8f789,0.958366589,0.032791737,0.032791737,0.002745979,0.787630325,0.820422062,ShockBuffer,8,np.log,none,-5.908100857,0.297216788,0.614292841,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,762f71c7c26e4e54bdb3500f36c79b0e,0.968757139,0.030726475,0.030726475,5.67446E-05,0.983471851,1.014198326,ShockBuffer,8,np.log,linear,-9.029041619,0.596175697,0.778585241,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,765e47c7f3e64863abba9633d80f7b7f,0.945887715,0.048172088,-0.048172088,2.85751E-05,0.890224608,0.84205252,DDPG,8,np.log,linear,-2.049435743,0.785357163,0.93925563,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,767fea71d68842a68d396b920615c55b,0.989707226,0.005216041,-0.005216041,4.31036E-05,0.506767288,0.501551247,DDPG,8,np.log,linear,-2.535540145,0.298287976,0.767208821,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,771fc230a00f47709d14703ef1ef96ae,0.82465492,0.060590028,0.060590028,0.00070606,0.345547355,0.406137384,DDPG,8,np.log,linear,-5.147324048,0.211180933,0.781760216,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,774c95639431477da4eed070d1f7c739,0.885712934,0.036091766,0.036091766,1.61303E-05,0.315799216,0.351890982,ShockBuffer,8,np.log,linear,-1.762833268,0.226517993,0.846926707,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,77a564fb7ed34940b6e0a50f9bf2cc1b,0.881723923,0.054147085,0.054147085,0.000273863,0.457802508,0.511949593,DDPG,8,np.log,none,-1.933599769,0.137574543,0.548188544,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,78988d4dd8644101954cd423b37a671f,0.689370203,0.144550952,0.144550952,0.000291151,0.465347993,0.609898946,DDPG,8,np.log,linear,-4.859461422,0.156519411,0.579956179,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,78dc4e62b9e8473ab732a14b6f881d59,0.5745741,0.183753103,-0.183753103,8.20711E-05,0.4319274,0.248174297,DDPG,8,np.log,linear,-7.87318145,0.066069104,0.391105417,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7903ddbfe4614af9977dd77738d4c204,0.961901759,0.012409315,-0.012409315,0.000333559,0.325718846,0.313309531,ShockBuffer,8,np.log,none,-1.460753532,0.304034514,0.96613986,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,795c39d5f72c4580b4acdb3902c0a416,0.947228639,0.043320956,-0.043320956,0.00212576,0.820917929,0.777596972,DDPG,8,np.log,none,-6.758673197,0.331402563,0.635371984,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,796a183506764bf998bcfe809c66d7a1,0.825211651,0.029535142,0.029535142,0.002308208,0.168976605,0.198511747,ShockBuffer,8,np.log,none,-0.960660481,0.062720916,0.609246309,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,79d1162ff440404fadc0fea49cd7c782,0.604262262,0.010522273,-0.010522273,1.86051E-05,0.026589006,0.016066733,DDPG,8,np.log,linear,-8.142261421,0.018734324,0.83939808,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,79e058d545e3489d9df4bda7cd4e0c39,0.771280636,0.156022863,0.156022863,0.001347079,0.682158523,0.838181386,DDPG,8,np.log,none,-2.68670834,0.091424493,0.36609064,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7a52201268e0400fb20726fab9eba90d,0.854165451,0.089234334,0.089234334,0.000791647,0.611887474,0.701121808,DDPG,8,np.log,none,-5.613734025,0.503867652,0.907449483,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7bb955dee19e4600842e2f90e84f9df7,0.884568594,0.013923814,-0.013923814,3.01573E-05,0.12062414,0.106700326,ShockBuffer,8,np.log,linear,-8.60730312,0.106344558,0.938945789,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7bf51bd99548476a92f1a5f1842bb414,0.892125259,0.040446508,0.040446508,0.000136588,0.374939558,0.415386065,DDPG,8,np.log,none,-5.414447615,0.154850791,0.642652325,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7c0b3518244c4938bbfcbb8d7df2eab3,0.643462751,0.078169645,-0.078169645,0.001528944,0.219246783,0.141077138,ShockBuffer,8,np.log,none,-2.071609956,0.056088073,0.505788143,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7c1a9750eabe462f8cdc618ae0ad1e80,0.968878777,0.020930009,0.020930009,1.88543E-05,0.672531695,0.693461703,ShockBuffer,8,np.log,linear,-3.536673255,0.319496839,0.689250207,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7c5b75211af24e34afea0e4d14992e59,0.970072944,0.023576353,0.023576353,0.016493793,0.787793932,0.811370285,ShockBuffer,8,np.log,none,-6.726704789,0.694918095,0.939205213,10000,1,0.2
